ID,NOME,RISCHIO_EROSIONE,DATA_ISCRIZIONE,AMBITO_LOCALE,MODICA_QUANTITA,SEZIONE_REGISTRO,TIPOLOGIA_RISORSA,FAMIGLIA,GENERE,SPECIE,NOME_COMUNE,SIGNIFICATO_NOME,SINONIMI,NOME_DIALETTALE,LUOGO_CONSERVAZIONE,SCHEDA_PORTALE
38,Olivo Raio,Medio,03/09/2018,"Comune di Amelia, Giove, Penna in Teverina",10 marze,Vegetale,Arborea,Oleaceae,Olea,O. europea L. subsp. europea,Olivo Raio,Per la forma dell’oliva che ricorda una piccola spola del telaio per tessere,"Ragghio, Razzo, Rajo",-,Campo Collezione del CREA-OLI di Spoleto a Castel Ritaldi,https://biodiversita.umbria.parco3a.org/risorsa/olivo-raio/
39,Pero San Pietro accessione di San Martino in Colle,Elevato,03/09/2018,Regione Umbria,10 marze,Vegetale,Arborea,Rosaceae,Pyrus,P. communis L.,Pero San Pietro accessione di San Martino in Colle,Legato al periodo di maturazione dei frutti che cade pressappoco in corrispondenza della festività del Santo,-,-,Campo Collezione regionale presso 3A-PTA,https://biodiversita.umbria.parco3a.org/risorsa/pero-san-pietro-accessione-di-san-martino-in-colle/
40,Pero Sementina,Elevato,03/09/2018,Regione Umbria,10 marze,Vegetale,Arborea,Rosaceae,Pyrus,P. communis L.,Pero Sementina,-,-,-,Campo Collezione regionale presso 3A-PTA,https://biodiversita.umbria.parco3a.org/risorsa/pero-sementina/
41,Pomodoro di Cesare,Elevato,03/12/2018,Comune di Montecastello Vibio,40 semi,Vegetale,Erbacea,Solanaceae,Solanum,S. lycopersicum L.,Pomodoro di Cesare,Il nome riprende (e rende omaggio) all’anziano agricoltore (Cesare) che ha mantenuto nel tempo questa varietà,-,De Cesare,"Banca del germoplasma regionale di semi di specie erbacee, S. Andrea D’Agliano (PG).",https://biodiversita.umbria.parco3a.org/risorsa/pomodoro-di-cesare/
42,Pollo Ancona,Elevato,03/12/2018,Regione Umbria,1 maschio e 5 femmine,Animale,Avicoli,Phasianidae,Gallus,G. gallus L,Pollo Ancona,"Prende il nome della città di Ancona perché dal suo porto, nel 1848, partì alla volta dell’Inghilterra dove fu sottoposta ad un'attenta selezione morfologica volta ad ottenere animali dallo splendido piumaggio macchiettato",-,-,"Sezione Sperimentale Avicunicola, DSA3-Università di Perugia, loc. Vestricciano, Ponte della Pietra (PG); Centro Avicolo Scuola Agraria 'Ciuffelli' di Todi (PG)",https://biodiversita.umbria.parco3a.org/risorsa/pollo-ancona/
43,Fagiolo di Rosciano,Elevato,03/12/2018,"Comune di Arrone, Polino",200 grammi,Vegetale,Erbacea,Fabaceae,Phaseolus,P. vulgaris L.,Fagiolo di Rosciano,Il nome si riferisce al paese di Rosciano nel Comune di Arrone dove era coltivato in passato,-,-,"Banca del Germoplasma Regionale di specie erbacee da seme, gestita dal DSA3",https://biodiversita.umbria.parco3a.org/risorsa/fagiolo-di-rosciano/
44,Fagiolo Secondi del Piano,Medio alto,03/12/2018,Come definito nel Disciplinare di produzione dell’Associazione “Il Fagiolo secondo del Piano di Orvieto”,200 grammi,Vegetale,Erbacea,Fabaceae,Phaseolus,P. vulgaris L.,Fagiolo Secondi del Piano,Il nome si riferisce alla consuetudine di seminare questa varietà in successione (secondariamente) ad altre colture nella località dei Piani di Orvieto.,-,-,"Banca del Germoplasma Regionale di specie erbacee da seme, gestita dal DSA4",https://biodiversita.umbria.parco3a.org/risorsa/fagiolo-secondi-del-piano/
45,Olivo Gentile Grande,Medio,03/12/2018,"San Giustino, Citerna, Santa Maria Tiberina, Città di Castello, Umbertide, Montone, Pietralunga",10 marze,Vegetale,Arborea,Oleaceae,Olea,O. europea L. subsp. europea,Olivo Gentile Grande,-,"Gentile di Anghiari (Pannelli et al., 2003)",-,"Campo Collezione regionale di Olivi presso Lugnano in Teverina Collezione del Crea-OLI sez. di Spoleto, loc. Collececco, Spoleto (PG)",https://biodiversita.umbria.parco3a.org/risorsa/olivo-gentile-grande/
46,Olivo Gnacolo,Medio,03/12/2018,"Assisi, Spello, Valtopina",10 marze,Vegetale,Arborea,Oleaceae,Olea,O. europea L. subsp. europea,Olivo Gnacolo,-,"Gnegolo, Nievolo (Pannelli et al., 2003), Ignaolo (Jacoboni, 1988), Sgnaolo (Giammaroni-Cherubini, 1914), Spagnolo (Francolini, 1923)",-,"Collezione del Crea-OLI sez. di Spoleto, loc. Collececco, Spoleto (PG)",https://biodiversita.umbria.parco3a.org/risorsa/olivo-gnacolo/
47,Olivo Peperina,Medio,03/12/2018,"Gubbio, Perugia",10 marze,Vegetale,Arborea,Oleaceae,Olea,O. europea L. subsp. europea,Olivo Peperina,-,"Pepaiolo (Giammaroni-Cherubini, 1914), Peperino Dolce (Jacoboni, 1988), Sterpino (GiammaroniCherubini, 1914), Bastardo (Francesconi, 1953).",-,"Collezione del Crea-OLI sez. di Spoleto, loc. Collececco, Spoleto (PG)",https://biodiversita.umbria.parco3a.org/risorsa/olivo-peperina/
